date,am,pm,target,predict
2020-04-17,21.0,2.0,working_day,weekend
2020-04-18,1.0,68.0,weekend,working_day
2020-04-19,18.0,15.0,weekend,working_day
2020-04-20,2.0,23.0,working_day,working_day
2020-04-21,0.0,25.0,working_day,working_day
2020-04-22,0.0,28.0,working_day,working_day
2020-04-23,10.0,33.0,working_day,working_day
2020-04-24,2.0,14.0,working_day,working_day
2020-04-25,30.0,74.0,weekend,working_day
2020-04-26,28.0,233.0,weekend,working_day
2020-04-27,4.0,2.0,working_day,working_day
2020-04-28,4.0,1.0,working_day,working_day
2020-04-29,0.0,17.0,working_day,working_day
2020-04-30,13.0,40.0,working_day,working_day
2020-05-01,8.0,52.0,working_day,working_day
2020-05-02,91.0,151.0,weekend,working_day
2020-05-03,47.0,133.0,weekend,working_day
2020-05-04,11.0,26.0,working_day,working_day
2020-05-05,81.0,58.0,working_day,working_day
2020-05-06,2.0,0.0,working_day,weekend
2020-05-07,14.0,38.0,working_day,working_day
2020-05-08,3.0,84.0,working_day,working_day
2020-05-09,0.0,86.0,weekend,working_day
2020-05-10,10.0,133.0,weekend,working_day
2020-05-11,3.0,183.0,working_day,working_day
2020-05-12,56.0,267.0,working_day,working_day
2020-05-13,6.0,205.0,working_day,working_day
2020-05-14,66.0,509.0,working_day,working_day
2020-05-15,10.0,0.0,working_day,weekend
2020-05-16,0.0,4.0,weekend,working_day
2020-05-17,2.0,46.0,weekend,working_day
2020-05-18,0.0,3.0,working_day,working_day
2020-05-19,20.0,14.0,working_day,working_day
2020-05-20,7.0,21.0,working_day,working_day
2020-05-21,1.0,48.0,working_day,working_day
